protein,degree,strength,clustering,ego_nodes,ego_edges,local_density,complex_membership_count,protein_in_any_complex
IFNA16,1,0.396666666667,0.0,2,1,1.0,0,0
IFNA17,6,1.3526666666659999,0.0,7,6,0.2857142857142857,0,0
IFNA2,8,3.7113333333327,0.12596546777069717,9,14,0.3888888888888889,2,1
IFNA21,26,9.552666666665298,0.028745669754147475,27,43,0.1225071225071225,0,0
IFNA4,10,7.243999999999,0.14625047788907844,11,19,0.34545454545454546,0,0
IFNA5,15,8.2873333333327,0.08778945966166447,16,30,0.25,0,0
IFNA6,4,2.666666666668,0.47660316501204747,5,8,0.8,0,0
IFNA7,1,0.637666666667,0.0,2,1,1.0,0,0
IFNA8,10,4.775333333332701,0.09283887086912265,11,17,0.3090909090909091,0,0
IFNAR1,28,10.994666666667001,0.05205039384917268,29,79,0.19458128078817735,3,1
IFNAR2,11,5.201666666666001,0.09160400319475466,12,24,0.36363636363636365,4,1
IFNB1,1,0.372666666667,0.0,2,1,1.0,1,1
IFNE,10,0.1639999999999,0.0,11,10,0.18181818181818182,0,0
IFNG,4,1.866,0.0,5,4,0.4,0,0
IFNGR1,29,12.867999999997997,0.04372003945767634,30,73,0.167816091954023,0,0
IFNGR2,7,2.054333333333,0.05325229866244425,8,10,0.35714285714285715,0,0
IFNL1,2,0.7296666666660001,0.0,3,2,0.6666666666666666,0,0
IFNL2,1,0.460333333333,0.0,2,1,1.0,0,0
IFNL3,1,0.499666666667,0.0,2,1,1.0,0,0
IFNLR1,3,1.179666666666,0.16222000704135706,4,4,0.6666666666666666,0,0
IFNW1,2,0.676666666667,0.0,3,2,0.6666666666666666,1,1
IFRD1,13,1.5716666666653003,0.026572274309530533,14,22,0.24175824175824176,0,0
IFRD2,18,8.592666666669,0.05678047276945388,19,36,0.21052631578947367,0,0
IFT122,25,12.6823333333317,0.07791457107814062,26,67,0.20615384615384616,1,1
IFT140,20,9.423999999998,0.09500299843246743,21,53,0.2523809523809524,1,1
IFT172,30,10.2486666666673,0.15117654847612189,31,174,0.3741935483870968,2,1
IFT20,49,25.771333333333,0.08780329069688428,50,247,0.2016326530612245,2,1
IFT22,26,11.185999999999002,0.2288357254465355,27,174,0.49572649572649574,2,1
IFT27,21,12.43633333333,0.2748643059739916,22,120,0.5194805194805194,2,1
IFT43,18,10.261000000001,0.10482956186568808,19,45,0.2631578947368421,0,0
IFT46,24,13.950666666665,0.30342491754424905,25,173,0.5766666666666667,2,1
IFT52,25,13.490666666666998,0.24457330383278114,26,153,0.4707692307692308,2,1
IFT57,61,31.425333333329004,0.058322950359549555,62,268,0.1417239555790587,2,1
IFT74,54,26.984333333332007,0.10755226909479854,55,350,0.2356902356902357,2,1
IFT80,24,11.069333333333,0.2806210995807249,25,178,0.5933333333333334,2,1
IFT81,42,23.516333333329005,0.14056679220672413,43,256,0.28349944629014395,2,1
IFT88,32,21.029999999998005,0.20315955251579795,33,200,0.3787878787878788,3,1
IGBP1,126,65.80700000000199,0.02799489010973409,127,555,0.06936632920884889,1,1
IGBP1P1,1,0.0,0.0,2,1,1.0,0,0
IGDCC3,1,0.0,0.0,2,1,1.0,0,0
IGDCC4,4,0.0,0.0,5,4,0.4,0,0
IGF1,15,7.104333333332998,0.03293839811613642,16,22,0.18333333333333332,1,1
IGF1R,183,91.38966666666504,0.05428686070612968,184,1981,0.11766452839154193,2,1
IGF2,16,7.570000000000001,0.024566725985785097,17,22,0.16176470588235295,1,1
IGF2BP1,209,104.08533333333072,0.04832304238337832,210,2268,0.10334928229665072,2,1
IGF2BP2,123,58.107999999997276,0.045320879347830245,124,831,0.1089693154996066,0,0
IGF2BP3,186,88.27799999999866,0.07347480111527761,187,2885,0.16589040308205394,1,1
IGF2R,85,39.998333333334,0.08789185222142126,86,787,0.21532147742818059,5,1
