subgraph_id,source,label,num_nodes,num_edges,density,mean_degree,mean_strength,mean_clustering,num_connected_components,ph_num_nodes_used,ph_dim0_count,ph_dim0_finite_count,ph_dim0_mean_lifetime,ph_dim0_max_lifetime,ph_dim0_total_persistence,ph_dim1_count,ph_dim1_finite_count,ph_dim1_mean_lifetime,ph_dim1_max_lifetime,ph_dim1_total_persistence,ph_dim2_count,ph_dim2_finite_count,ph_dim2_mean_lifetime,ph_dim2_max_lifetime,ph_dim2_total_persistence,ph_dim1_landscape_l1,ph_dim1_landscape_max,distance_matrix_mean,distance_matrix_std,complex_group,size_bin,match_score,target_density,target_mean_degree,target_mean_strength
real_complex_60,real_complex,1,8.0,28.0,1.0,7.0,6.19033333333325,0.8967667394798611,1.0,8,8.0,7.0,0.033428571453051906,0.0430000014603138,0.23400000017136335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10120833333334375,0.07226104058284084,group_60,medium,,,,
real_complex_61,real_complex,1,3.0,3.0,1.0,2.0,1.1057777777779998,0.7861671384610948,1.0,3,3.0,2.0,0.3525000065565109,0.3840000033378601,0.7050000131130219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298074074074,0.23832770144994378,group_61,small,,,,
real_complex_62,real_complex,1,22.0,231.0,1.0,21.0,18.531454545454544,0.8796423049167538,1.0,22,21.0,20.0,0.042116666701622306,0.3486666679382324,0.8423333340324461,2.0,2.0,0.0040000006556510925,0.005000002682209015,0.008000001311302185,0.0,0.0,0.0,0.0,0.0,0.1821069029039272,0.0035238686889848838,0.11220661157024794,0.10630868610951312,group_62,large,,,,
real_complex_63,real_complex,1,5.0,8.0,0.8,3.2,2.4082666666664,0.759714004836971,1.0,5,5.0,4.0,0.195333331823349,0.25033333897590637,0.781333327293396,1.0,1.0,0.039333343505859375,0.039333343505859375,0.039333343505859375,0.0,0.0,0.0,0.0,0.0,1.4044124454518656,0.027537498930428766,0.31834666666672,0.3166846378058531,group_63,medium,,,,
real_complex_64,real_complex,1,13.0,52.0,0.6666666666666666,8.0,6.192564102563846,0.6576714443906769,1.0,13,13.0,12.0,0.18027777690440416,0.4090000092983246,2.16333332285285,2.0,2.0,0.003166668117046356,0.003999993205070496,0.006333336234092712,0.0,0.0,0.0,0.0,0.0,0.018823500919219836,0.0028097478234270184,0.4467258382643195,0.3795407452445863,group_64,large,,,,
real_complex_65,real_complex,1,4.0,6.0,1.0,3.0,2.3783333333335,0.9090089183087994,1.0,4,4.0,3.0,0.1748888889948527,0.19833333790302277,0.5246666669845581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155416666666625,0.09768710679173571,group_65,small,,,,
real_complex_66,real_complex,1,14.0,91.0,1.0,13.0,12.174571428571712,0.9358741757836506,1.0,14,13.0,12.0,0.024027777680506308,0.10333333164453506,0.2883333321660757,2.0,2.0,0.0040000006556510925,0.005000002682209015,0.008000001311302185,0.0,0.0,0.0,0.0,0.0,0.1821069029039272,0.0035238686889848838,0.058959183673449,0.05025696475480673,group_66,large,,,,
real_complex_67,real_complex,1,16.0,117.0,0.975,14.625,13.672374999999999,0.9112208232429837,1.0,16,15.0,14.0,0.023095238022506237,0.10333333164453506,0.3233333323150873,3.0,3.0,0.004555555681387584,0.005666665732860565,0.01366666704416275,0.0,0.0,0.0,0.0,0.0,0.2146057681822794,0.004004604719277908,0.08297656250000002,0.1505663566315393,group_67,large,,,,
real_complex_68,real_complex,1,36.0,575.0,0.9126984126984127,31.944444444444443,27.855907407407273,0.824104605104925,1.0,36,35.0,34.0,0.0411568627870806,0.34433332085609436,1.3993333347607404,10.0,10.0,0.006299999542534351,0.017666665837168694,0.06299999542534351,1.0,1.0,0.003333335742354393,0.003333335742354393,0.003333335742354393,0.8880606968545792,0.012475881742333503,0.19844701646090893,0.2669211683009053,group_68,large,,,,
real_complex_69,real_complex,1,15.0,102.0,0.9714285714285714,13.6,12.682666666666798,0.9099576654353186,1.0,15,14.0,13.0,0.024564102435341247,0.10333333164453506,0.3193333316594362,2.0,2.0,0.0040000006556510925,0.005000002682209015,0.008000001311302185,0.0,0.0,0.0,0.0,0.0,0.1821069029039272,0.0035238686889848838,0.08782222222221335,0.15952580966921812,group_69,large,,,,
